"","b","m","sigma"
"1",59.4181826230558,1.36240004338892,11.7373472879379
"2",72.2553361118189,1.83203379577017,12.2352753024567
"3",59.5809811598819,1.31434791150597,9.81512098662718
"4",67.9293540945206,1.59670880783841,9.4905644596166
"5",60.6115077748882,1.38416056167185,9.72978458860868
"6",60.800696583658,1.24190172799702,11.1380470462052
"7",77.2281435095695,1.95058432765525,11.2809050889215
"8",66.010493157539,1.53626086931864,10.1123862688391
"9",62.2049505404277,1.44800101186883,10.7428195075121
"10",62.0276022475553,1.42677265909783,11.2223584138112
"11",68.9571676987062,1.57972465736609,11.8305971142067
"12",74.2284105937434,1.93479319024361,16.1878629282145
"13",70.6889723100814,1.62461444540882,11.4807293476414
"14",67.6332744748994,1.52818124100014,10.6011522130066
"15",70.4899361248148,1.70366799955051,13.6320789287443
"16",87.6592695493402,2.45752273050923,10.3800883123349
"17",77.5652293995679,1.99266432724778,11.2428184974498
"18",69.8764624611107,1.71235340505076,12.5238890983348
"19",64.3806282722549,1.37535644630807,10.1111878062113
"20",65.5338996247751,1.67234369661142,12.1118057986652
"21",74.9234383295074,1.78969345799219,9.64376676564631
"22",73.8649312063373,1.84496932910084,9.30579119334993
"23",77.5484273519452,2.09950883286344,11.437606484171
"24",69.4090091126064,1.64487161642673,12.6473020231814
"25",71.83676558107,1.83873686340213,10.8302998668513
"26",69.4125270554367,1.55862018445579,12.6640700068001
"27",66.7860542109817,1.71263345112982,12.2951214629127
"28",72.7162263614432,1.73340306264376,8.60590400184678
"29",69.8142420490241,1.69933499923842,9.42640558398518
"30",75.0998809077123,1.90082924047091,12.1765740965346
"31",60.7171181822377,1.21477690863622,9.8574197897692
"32",66.3374098617352,1.44575479651035,10.5005512736989
"33",66.9275338506031,1.71930508621182,10.6133814230978
"34",77.74635616602,2.00298558043004,14.4321260388156
"35",82.7398960187337,2.10577830663148,10.7907140248792
"36",66.2142014920904,1.62297639770092,10.5669655464205
"37",65.6787643578324,1.48777198664597,11.6188498434904
