"","T0","Tmax","q","sigma"
"2707",2.03999056323926e-33,41.0385269195023,0.00106174049068437,0.176873595322688
"2708",4.15441835884803e-11,30.0779964605361,0.00206898255567305,0.134089054732189
"2709",1.48503180121365e-33,33.8256400817925,0.00157470082772861,0.124886782046991
"2710",2.03194075543249e-40,31.611199002567,0.0014481532817584,0.112459670271413
"2711",1.3249434813889e-18,32.8426003192737,0.00141791315451631,0.100785077461043
"2712",3.28601420409159e-05,48.0982047141872,0.000643492040463924,0.118179251189821
"2713",1.97178286895331e-10,36.6827319057694,0.00139080909688744,0.0993212948120865
"2714",7.71318773469942e-14,41.016788736012,0.000912188112530643,0.121960746418446
"2715",1.01383190246134e-36,40.2709305755302,0.000882874718552748,0.169203275901049
"2716",5.6137240851619e-16,43.4469501504831,0.000742320842616236,0.13564997658287
"2717",1.42917240954901e-09,33.2612806520681,0.00134278029056882,0.124157556175941
"2718",2.58341086664532e-09,42.8706217505501,0.000990083507280216,0.141675373094916
"2719",6.32344646072664e-48,33.248364848694,0.00143449682975718,0.130460634491761
"2720",2.44123292593337e-21,30.3834217056825,0.00206248053126104,0.104342551749319
"2721",6.62198099238891e-06,39.3565965781478,0.000945626141766479,0.15147914872253
"2722",2.25566871996686e-07,31.7495265573004,0.00161938217479888,0.118279830852239
"2723",5.34239181577836e-27,35.1388602212833,0.00110425398899772,0.233423571430827
"2724",2.45539394560283e-15,33.9613031236228,0.00122272483070245,0.246257671071647
"2725",0.000134520785731637,36.5707881574762,0.00125150069502739,0.0987253429491734
"2726",1.84830583680337e-19,36.8405530194518,0.0013652714775914,0.221456563724798
"2727",7.26130056888086e-11,32.5110209317254,0.00148298167425629,0.129560791324424
"2728",2.5283949863969e-10,30.3278878410225,0.00195428038429821,0.105931667269404
"2729",2.58327378041111e-07,33.7701673503834,0.00148753686610853,0.134765836082005
"2730",9.55510417310698e-16,32.3297796026202,0.00145105246084957,0.172958103984927
"2731",8.74421616981152e-13,33.035684937447,0.00180086580177118,0.132395821319863
"2732",7.12989524480257e-22,33.6667082945513,0.00133617161562978,0.0971491208027377
"2733",2.94558455291256e-26,36.6607396724418,0.00117798463767933,0.130650206744328
"2734",1.61433156161538e-15,32.1187171155333,0.0017481724895951,0.120219145279819
"2735",1.14319455165374e-10,47.5118838419565,0.000723093797145408,0.157858916726293
"2736",9.30053809175722e-15,45.5061098878178,0.000877398117848551,0.12885893720485
"2737",1.87962038029009e-09,33.2960996769827,0.00159311937399486,0.112400947716702
"2738",3.72519978094893e-18,44.0001467471044,0.000910472869263907,0.172832920235012
"2739",3.04643830887378e-11,34.8625138433664,0.00147733634840117,0.0955576677022764
"2740",2.9416640587663e-13,57.7207749117642,0.00064147359568118,0.180760532987398
"2741",1.92213326750443e-29,45.8292641320619,0.00100917509409225,0.27076699175259
"2742",2.76479350747402e-07,46.1943530582905,0.000723460218832043,0.169237331215902
"2743",2.44399350091608e-13,28.4057920373468,0.00240167716382927,0.16023977709258
"2744",7.5149059651141e-32,35.5493340461401,0.00126757802241684,0.126152066627082
"2745",0.00104697221309534,33.1071684169723,0.00147593055136663,0.115038212098225
"2746",0.000380239029028518,35.0479143555297,0.00123347414801815,0.14009511279308
"2747",1.48131850913695e-08,48.8355290264621,0.000731667553277633,0.186682030861531
"2748",4.00358153587276e-07,30.7610464317191,0.00176177379077261,0.185609725145873
"2749",2.75763514111238e-20,36.8403318114882,0.00125804030313473,0.156858225438589
"2750",2.76318312031926e-23,36.8776197019191,0.00107540930692477,0.107224910372347
"2751",9.73544639188024e-12,34.6086282526547,0.00149538870328669,0.109918969634735
"2752",2.04221155654235e-09,29.0788147933092,0.0020052725386042,0.0990130918335319
"2753",3.06383826972403e-17,29.0987678231661,0.00205627999313702,0.102418698732447
"2754",1.08242930566331e-32,30.4039262540622,0.0019260589590438,0.239076918978454
"2755",1.37044661849341e-08,40.3838851863147,0.00100494454479236,0.126103320673152
"2756",1.61178098626338e-48,39.2044078669904,0.000842147010017226,0.230628505670331
"2757",1.85951555248755e-09,37.913607074131,0.00119220835956945,0.148680578701206
"2758",0.00143214419074883,43.8545018158815,0.000849596471372622,0.170746044345356
"2759",8.77480187648214e-33,56.0386378412091,0.000627891368466734,0.232773966999598
"2760",1.39261654252731e-33,33.0758858599174,0.00144382508452603,0.130561927287872
"2761",6.69002670328657e-12,37.5195954736789,0.00114775143663185,0.104166994560069
"2762",1.6809518309963e-21,30.9606723036464,0.00187088398678834,0.107202776415988
"2763",5.35738723117899e-32,32.0203416295178,0.0014448026205808,0.120723698687193
"2764",1.65405251761508e-08,44.368507049248,0.000835360942731336,0.140954339479272
"2765",1.47964080886773e-10,28.9047359088884,0.00241942939195939,0.179392974133541
"2766",7.8044591184582e-05,32.2841052509784,0.00195770139503041,0.277564351046705
"2767",1.17620805370143e-07,37.6518802223081,0.0011865586478695,0.148096748246456
"2768",6.00571473971507e-16,33.6555903828614,0.00163585854749325,0.137216669433246
"2769",5.14124746479097e-26,37.4575191048642,0.00101462344221867,0.112577526961675
"2770",2.60213361166308e-35,41.1854600778445,0.000931446353585937,0.131630976195501
"2771",3.19919950553885e-22,28.1354191577654,0.00180743244174723,0.137862143339839
"2772",3.61681593129188e-11,46.102252575953,0.000814016149097289,0.161120305655911
"2773",3.10805941817995e-12,58.7947356612858,0.000488895067602181,0.161206897307883
"2774",2.23047542845416e-21,31.1361507487981,0.00198171108539284,0.153826901477106
"2775",2.73364327888013e-24,31.0496687565902,0.00175828056089544,0.111391588625045
"2776",4.8130021471877e-17,38.6290914770668,0.000990523214362218,0.123304779302748
"2777",2.29714676123224e-42,29.9505955473735,0.00186434030528651,0.102605031784561
"2778",2.10823617649675e-11,59.9802762581724,0.000572289219344711,0.168431812983595
"2779",2.76496842169669e-17,35.3243824159514,0.00136904020905259,0.101117474014342
"2780",8.63477061335958e-08,32.311260388576,0.00150352006289097,0.116049824366117
"2781",1.62499785532792e-05,48.7656222338505,0.000560453266592566,0.178508966907828
"2782",3.14162558746073e-50,37.2501240160137,0.00127555638503133,0.133130838196914
"2783",1.18521201492607e-10,28.6597635193373,0.0020950976273964,0.137822370388554
"2784",1.03558243271742e-13,32.4700949089884,0.00174727811715438,0.154918149528166
"2785",2.39552280545717e-31,36.057297130028,0.0011503215861852,0.109039323117476
