"T0","Tm","qd","sigma","n.qd","tau"
15.0797310264996,31.2706079609312,-1.63621138044076,1491.86464455249,-1.63621138044076,0.000670302097212022
14.5075200997515,30.4135993035569,-1.78640083598751,1425.8264385045,-1.78640083598751,0.000701347634603313
14.8093703939225,29.0155406207886,-2.49860677590702,1119.10369503677,-2.49860677590702,0.000893572243961846
14.225424301527,29.602552588177,-2.01408818782388,1412.35646690939,-2.01408818782388,0.000708036549857887
15.1801104885178,31.1099181370725,-1.74016965972388,1286.93989479071,-1.74016965972388,0.000777037066026011
14.8601287058621,31.171454638778,-1.8037971279041,1357.94770829318,-1.8037971279041,0.000736405381365467
14.5997519141101,30.855280200193,-1.8716988804172,575.99926801145,-1.8716988804172,0.00173611331738727
14.9297016116147,30.6556252309153,-1.82485623059075,535.110656831342,-1.82485623059075,0.00186877235060408
15.8768772812739,32.0022307253385,-1.67902357427173,853.18585860494,-1.67902357427173,0.00117207756072647
14.0619863927406,31.2115265491247,-1.52732456540585,1090.69638135006,-1.52732456540585,0.000916845436639487
13.2328415490339,31.1160097082767,-1.45680758096378,774.18929977131,-1.45680758096378,0.00129167375510795
13.8033871494752,31.6225482905475,-1.27017977767359,871.63294805681,-1.27017977767359,0.00114727191328571
13.0250381309017,31.3599889103613,-1.4945047467634,1343.59137854626,-1.4945047467634,0.000744273903485432
11.6769765840529,32.1613897278056,-1.1222206787489,782.016244640167,-1.1222206787489,0.00127874581487771
13.0582788154426,31.4967798480653,-1.36054094362834,722.087780362769,-1.36054094362834,0.00138487317912735
13.6956910953832,31.6657539058667,-1.2836767097852,813.843913204165,-1.2836767097852,0.00122873684225631
13.8283785780926,30.854021621495,-1.65716658265517,740.133220034222,-1.65716658265517,0.00135110811531168
14.0106587376082,30.6733112377953,-1.62022818505771,541.323051146437,-1.62022818505771,0.00184732572884557
14.9703598615701,31.5653364611081,-1.53711061527644,623.7995327042,-1.53711061527644,0.00160307911047152
14.4714957383822,31.6087345265777,-1.42890068764605,959.139496116554,-1.42890068764605,0.00104260121082375
13.9835299182158,30.6680483300336,-1.54023286294071,940.638513231968,-1.54023286294071,0.00106310765074255
13.033710815093,31.28712184173,-1.42892741591913,666.409207682021,-1.42892741591913,0.00150057950651419
13.6755971208821,30.8892534049891,-1.68337154288817,930.527897189884,-1.68337154288817,0.00107465880713508
13.7170401865876,31.5623587353312,-1.45983250924228,900.441585597107,-1.45983250924228,0.00111056621106285
12.587245735572,30.3331891441321,-1.43150948506338,949.680380539878,-1.43150948506338,0.00105298584712418
12.4408349354215,31.4318217506328,-1.28632126335063,638.065920602159,-1.28632126335063,0.00156723618628037
12.5914709894366,31.9513454798967,-1.1947541688989,766.004927045279,-1.1947541688989,0.00130547463168065
14.9555893345463,31.6122876146121,-1.70764311020615,729.627502661098,-1.70764311020615,0.00137056237100822
13.1358639765918,30.9921081611344,-1.50720424556167,801.497661863224,-1.50720424556167,0.00124766427599467
13.8220247057186,31.4985183075593,-1.43104697928606,625.43720307768,-1.43104697928606,0.00159888154251003
13.1369257400405,30.9657712871454,-1.45684133509899,569.248166239846,-1.45684133509899,0.00175670306784732
13.4887355008768,31.3149711790435,-1.38549705628232,602.723280261522,-1.38549705628232,0.00165913617865582
14.1185705225838,31.178596420807,-1.61379259260192,646.45729165345,-1.61379259260192,0.00154689259895621
14.3570452555273,31.5199663323306,-1.5408084347643,476.943671801453,-1.5408084347643,0.00209668365285763
13.5074842699758,31.5196646979924,-1.40433870621576,539.430392446401,-1.40433870621576,0.00185380730118828
12.4419963354942,31.0511804081398,-1.30031045591521,781.902671785548,-1.30031045591521,0.00127893155514664
13.5249986094323,31.6666945632022,-1.33960619758492,614.889024254864,-1.33960619758492,0.00162630972509523
14.3090235917557,30.5453856896774,-1.66907152439748,724.639078701788,-1.66907152439748,0.00137999733852545
13.7904009828611,31.6026630071184,-1.46925383565874,682.337016237083,-1.46925383565874,0.00146555144481938
13.9044977696004,30.8775382381269,-1.30133014010326,1006.48099114175,-1.30133014010326,0.000993560741634676
14.9676161468554,31.639318746756,-1.61731780787077,813.467739484326,-1.61731780787077,0.00122930504980311
14.8990095562399,31.050124581965,-1.80801421578305,501.546686850805,-1.80801421578305,0.00199383233150032
15.5855798175525,30.7505226942638,-1.88182607957768,803.577714581713,-1.88182607957768,0.00124443470974121
13.0314995010323,30.3261091403438,-1.6444778076125,848.577699748659,-1.6444778076125,0.00117844246943585
13.5769627528666,30.7573752152632,-1.55493282861506,562.923321697227,-1.55493282861506,0.00177644087827979
14.6133709290428,31.2559653746293,-1.7109283067518,1287.1666824076,-1.7109283067518,0.000776900158827553
14.0072402616827,30.8849960438601,-1.418421697392,968.467806488708,-1.418421697392,0.00103255884532251
12.7969699438651,31.3735878672481,-1.29213869878068,814.425512061228,-1.29213869878068,0.00122785937472551
13.7492336900057,32.2462079617224,-1.21766805961913,781.980848563165,-1.21766805961913,0.00127880369683916
12.8436697773434,31.0290961832556,-1.35159925758991,402.032799002495,-1.35159925758991,0.00248735924651211
13.4394057267228,32.5162279226696,-1.18933854084796,788.644414424182,-1.18933854084796,0.00126799858302444
13.1545607662681,31.440286975802,-1.28906865154516,1091.87559689696,-1.28906865154516,0.000915855252046969
14.307519965735,32.4198553494157,-1.37412849056196,831.506227266887,-1.37412849056196,0.00120263681402236
15.7962256432479,31.9341445973555,-1.61417923563209,1865.39504747779,-1.61417923563209,0.000536079476222533
14.4772049930954,30.428143350601,-1.84918101489593,679.8592936605,-1.84918101489593,0.00147089259398926
