"","b","m","sigma"
"1",128.967289965718,3.63922400288057,15.2738070460794
"2",126.661801831913,3.23934110381465,14.2291064377885
"3",166.509837863735,4.82843594113612,11.8611316925073
"4",155.702290946197,4.47036819252152,12.7326688387947
"5",131.180032039787,3.73500193818107,17.1374080014602
"6",131.621091375493,3.28536531378465,13.7933497744574
"7",169.775993962287,5.24213448729977,17.9606597402154
"8",150.777841371057,4.37501833216457,15.5556574413771
"9",165.181523194334,4.85802472285544,30.3405717985371
"10",136.99625672728,3.90236627990245,17.6502259429802
"11",157.74059108299,4.17833426545589,21.4779831294181
"12",134.981315595396,3.81078746932849,14.7315181462782
"13",145.159799011487,4.00722389616344,9.87725675953442
"14",113.373562678284,2.90102609476783,16.552622491521
"15",97.578088267798,2.72218712185969,24.2900168699994
"16",102.945545711176,2.58608637667883,23.0170532421493
"17",106.098625642365,2.98784932330788,23.8793337832171
"18",121.784830282127,3.29786135251209,13.2388665845336
"19",136.788791444461,3.81415161961389,10.801053874242
"20",132.432324410519,3.64900214450049,13.0716303358311
"21",100.088530119067,2.19805963023714,19.4763838978959
"22",143.740445235949,4.12300399452073,17.1347720224286
"23",157.171090948934,4.73079698633042,15.4604055880765
"24",108.618275439992,2.62352772739765,21.7921582940113
"25",120.521722372748,3.19546010795068,11.4284543696113
"26",137.343183514209,3.36332352317491,15.8326891330327
"27",123.55651859117,3.56740576622331,21.353023123509
"28",156.264873511325,4.66877659825812,14.9273055131581
"29",179.237683022699,5.38170374949498,13.5232990497365
"30",133.018952970276,3.56820034870576,11.9567005866795
"31",146.445419842115,4.21280734526132,12.9000364025294
"32",105.431624278356,2.57215963432546,12.5041831589009
"33",97.1614804590965,2.50749807068959,16.5076977570069
"34",171.911769961995,5.58204605367351,12.5709994612964
"35",86.1185561449453,2.17782171184726,19.4505641449955
"36",157.694436767324,4.75387853954148,11.1597529879427
"37",127.523917784053,3.23861463904326,12.3449289128408
"38",156.633999923352,4.78765875882412,14.02540651256
"39",164.59763844587,5.05571603330031,11.0869576223131
"40",108.492635672335,2.43845269342256,16.9629739303492
"41",64.0031171594194,1.02624758959255,23.1555566288488
"42",124.547643252434,3.12569839548271,16.9580068601851
"43",137.290223748632,3.88567857706776,12.6107171102565
"44",105.69873461661,2.50652719354355,17.0133528565167
"45",147.599013307463,4.1413174187998,11.4533691687239
"46",178.527004928869,5.55462095662134,16.6099976139796
"47",155.059581678986,4.63997443583074,15.0410969652416
"48",139.332937449763,3.89891958629,19.3840144243397
"49",103.167989738497,2.51709333873338,20.0849552356053
"50",146.166246440117,3.83900329573053,20.5831042035739
"51",115.805029435666,2.73418810618314,17.8758118254638
"52",132.143844690602,3.80827294922929,16.3535352215804
"53",172.010472744783,5.21644803387624,11.7480219053992
"54",133.497603680367,3.79251109211916,17.3273120111157
"55",80.7635696216067,1.54189218492314,21.3195839880116
"56",152.549448323043,4.36249078839675,12.920361122684
"57",154.144056656943,4.8538948918596,13.2090612312208
"58",146.395394172858,4.39389538060536,20.86783603444
"59",127.993002228074,3.79608468249584,13.1784731289065
"60",152.690392948351,4.32826083499653,9.62734221716507
"61",128.351417795649,3.57821714311939,14.4909292262414
"62",159.94640028116,4.8310383801921,14.921799031679
"63",130.50252050211,3.57965208850451,11.1966091414273
"64",133.401326192915,3.43000364641754,13.7507067882199
"65",160.675628967398,4.94070250510426,17.3550999181477
"66",130.521423116888,3.50532044038171,17.7024307271966
"67",140.899866819068,3.9941142113065,11.7961395680481
"68",166.356573128225,5.08171564611533,14.7198734187789
"69",159.154114958101,4.70169336075782,18.9549600123625
"70",157.713709562226,4.55145720687838,13.0328159174123
"71",131.746406942369,3.52693166670213,11.7855571726749
"72",166.938468928141,4.93951425168945,13.3200410764186
"73",133.323402733521,3.65939057455943,9.12545729768787
"74",138.552902000644,3.73522603417649,12.7273289597372
"75",97.3741673267836,2.18377727476737,28.2806759219236
"76",128.634960583773,3.48414746559443,9.61638336410995
"77",137.985635316813,3.70576263305847,16.7026238560194
"78",135.819549890159,3.75191163666755,12.2234451105635
"79",132.393586147533,3.53031342054485,9.60825863637896
"80",105.22052872528,2.51424088079573,12.5982926278425
"81",185.260397107269,5.85122105254306,20.6674060755041
"82",150.490234892767,4.25056408960927,16.3648614544719
"83",150.718459245653,4.38895417029531,16.5566032679748
"84",159.168287940776,4.64086856140176,13.6280376011421
"85",123.158275251785,3.14384571987504,14.9207222638045
"86",125.846529099955,3.27556426830021,13.4446279816456
"87",153.096200788798,4.70334023612647,27.0721244219415
"88",158.503178774137,4.7893646346705,19.5339407151436
"89",122.630960774543,3.32197587939017,13.7757129243435
"90",149.275294746725,4.35405393511955,16.8287598185073
"91",165.540330745814,5.0132393862499,13.3826168702418
"92",130.239613518764,3.47147030145944,14.6710024404809
"93",128.255144488413,3.57089456297607,18.4038709484206
"94",146.321311446516,4.04790144565461,13.6734189893928
"95",120.623597990963,3.05512566978024,21.2285045476703
"96",154.819903270428,4.59324717074647,13.7078009403074
"97",122.483170385817,3.37297468998643,15.6448239838921
"98",128.72317806315,3.44646867525737,8.49293051079515
"99",118.390500343138,3.10982760004728,15.9855107580733
"100",117.746071482515,3.1143586901198,17.8417213390387
"101",165.389270318909,5.00932746622305,14.9169877821576
"102",159.099684300672,4.80453607964452,14.4561462992524
"103",145.338627108709,4.15357573414755,10.5690503640054
"104",157.800576801002,4.75578051633048,16.2453076117721
"105",119.640053782521,3.36749151689359,10.8596904971494
"106",138.80422335369,4.0605197323463,14.1211981110268
"107",138.582259072966,3.7485261633652,15.6941511001657
"108",148.608060631907,4.22853929210674,13.7628253062152
"109",154.298596724074,4.3585647051397,12.6800716291369
"110",147.46925605727,4.36342587704281,11.9103975367681
"111",153.485577819715,4.35394511812174,16.3173791052282
"112",127.302864832062,3.43434846403611,13.7074936325173
"113",123.641969307705,3.34874395753971,13.5194726080428
"114",154.255506101342,4.31220202705867,13.1869285508792
"115",152.329405768654,4.24181748576519,13.8483670051289
"116",131.623426012297,3.65706061834793,11.5526287761157
"117",164.355807890043,5.27421794912571,17.1612210355601
"118",168.963982199192,5.03850800241879,11.2671482786824
"119",104.784615175975,2.63148871620464,16.9468604316492
"120",132.831981548616,3.77737391333869,21.9391287280892
"121",89.2648430117003,2.55606096452248,21.3208351482385
"122",159.988007787709,4.86129648153382,15.1479953458307
"123",132.88849546361,3.63657564699144,15.1375342752666
"124",138.827555149777,3.71109597442485,12.0540118918256
"125",161.897578384698,4.84319040369331,19.7117536313543
"126",115.145569508041,3.10687575448953,15.9208242586656
"127",129.956499744736,3.49113833153357,18.1694809565676
"128",161.761768553334,4.84036826865663,15.3213239592575
