"","b","m","sigma"
"1",183.548036012871,5.38116302282109,15.4835178328267
"2",180.246500380824,5.54361574167824,18.8168820937319
"3",179.818091515288,5.2496820750343,18.0527321661317
"4",157.076565760948,4.48324019153073,19.1656884919208
"5",167.173504255859,4.83713925361283,16.7691051630484
"6",166.038397239104,4.74512910459262,16.2306985891346
"7",168.813139749726,4.76650221027245,16.8258674522213
"8",179.867413878163,5.0945533741325,18.9124427868876
"9",173.660730042045,5.12138226485495,19.284127556246
"10",165.630476505566,4.62937272197726,17.7126173764967
"11",178.211306788925,4.99082088837274,18.9843234916313
"12",182.117191794502,5.49179346299353,17.2101677843547
"13",161.001136163691,4.51853679121713,16.0784509623618
"14",170.208373743439,5.0793760024577,17.4393230560001
"15",185.591001464568,5.52830269580048,21.0291604569989
"16",170.616834998494,4.95847780206744,23.4628074387759
"17",150.684008194658,4.11286713362575,20.7312390585646
"18",166.801869920447,4.67857984392873,20.1074786259062
"19",165.411510813352,4.75822796771583,23.0414382769578
"20",158.25204162555,4.43266166295871,17.5584610867735
"21",151.680289350572,4.35586543318873,17.8031282327923
"22",174.554796640827,5.01057446854003,16.3175787100299
"23",163.012505984702,4.69286961252399,17.3062856823802
"24",155.98647601468,4.40674723054129,20.9751058572676
"25",175.63061006378,5.02328908882042,17.2252594482435
"26",171.998723946388,4.9162364841164,19.857734022121
"27",176.746211647606,5.16094190664138,17.1445204551102
"28",202.766863072481,6.25357206682526,19.8194840295646
"29",165.945268246607,4.76121232298511,14.0912224679092
"30",168.371704474359,4.8067276484574,24.6400220183341
"31",159.993624238357,4.49835371956398,18.7659625903578
"32",153.237257020328,4.50728150706737,21.5282874589154
"33",182.335694709683,5.29926659757266,19.0013356374687
"34",167.478726421815,4.7817308015677,18.2253832852543
"35",156.049366736653,4.37349163946431,17.8568936137433
"36",171.436669540865,5.07870252386258,22.0577701734177
"37",187.798491393725,5.46279402135672,15.7826543029538
"38",150.44732639481,4.13619312104298,20.6420874504082
"39",155.482497482024,4.44556522812654,18.7733025894945
"40",161.858562206944,4.45164139920292,16.3219002120984
"41",170.419072279217,4.92233626125864,20.4267117616036
"42",188.973757214422,5.64439287737341,19.6017685934432
"43",151.154687963429,4.38038417793313,23.3835857686758
"44",177.75999578323,5.05739823687313,20.8363750378137
"45",181.773126347866,5.25865343966129,15.1127403155059
"46",158.676658128081,4.39840018326609,15.370294735608
"47",182.192309658306,5.35220838191692,16.6782692912491
"48",169.794697472945,4.81728017312545,17.4029002669046
"49",180.148440587842,5.24033242516329,21.2613972661326
"50",173.319043159422,4.98969204671197,14.8077997981116
"51",163.165517503814,4.71044146402897,19.6351588188728
"52",177.173352923798,5.1760273322973,15.8169274184964
"53",178.694621899372,5.29085460251847,19.0776362447913
"54",153.814892132384,4.16604022748977,19.6732059771798
"55",156.166660689902,4.14334577977813,20.197902048925
"56",169.865015050859,4.98109547750441,16.730523421862
"57",167.103090362609,4.7415757361618,22.5545790153198
"58",172.505470637004,4.86913150464831,18.1181466165717
"59",160.775025704214,4.54012387896712,18.5054045630383
"60",149.906854380142,4.05192470876058,21.4684191737964
"61",164.22045369403,4.57175437559927,19.502938974513
"62",180.130492532943,5.32145417806088,16.8739666439131
"63",160.140088403293,4.40153295144717,14.9809369870403
"64",172.878545730346,4.63377301073439,17.1283538303814
"65",175.953921765784,5.05944502547716,19.9712709658552
"66",169.980087740799,4.8382177443477,15.996174459437
"67",176.8164947317,5.03837591974834,18.5092729109978
"68",176.387504912998,5.2480574254134,19.1060391793946
"69",163.40979313926,4.48395982869196,22.5195079666527
"70",166.121204021121,4.61956788938885,21.7393915604096
"71",159.070398477604,4.56752632029343,18.0982124280923
"72",156.58118185584,4.20714589245741,18.6044375526062
"73",169.978281958014,4.92613191917137,18.7775394321993
"74",190.154880180419,5.72528377747099,19.4505979874147
"75",175.663590094844,4.99436553326693,22.0780656726519
"76",164.429515930058,4.44460948345022,17.6235395250608
"77",194.750984048859,5.84219359438782,15.977501976522
"78",167.942623534675,4.72617243090483,21.259521614744
"79",185.521110956044,5.56333336243761,19.8360961004232
"80",170.087464289992,4.81786382670189,18.6478343059729
"81",149.254762165457,4.07114649896351,19.3666848265237
"82",169.070121437426,4.82159542813659,16.3048605837831
"83",156.591483436381,4.42468721025807,18.3312635522711
"84",149.415945637821,4.05230566243665,28.3276499295094
"85",165.513484675765,4.8208010739251,16.6105195722256
"86",188.52545025088,5.50198398454777,17.2948052565471
"87",161.029561426631,4.43324540571947,19.3495930256214
"88",173.156591727232,4.83235383383869,16.5552990236067
"89",171.972835005744,5.09905768598416,16.2052363818116
"90",184.07642125129,5.21715091860848,17.2767105744286
"91",178.59352955794,5.32437411794471,15.7985818382539
"92",179.713649106071,5.40149881723158,18.4847117442725
"93",172.486956539765,5.07159807552583,18.6039770459998
"94",172.233516037741,5.09804372494321,17.8427487209785
"95",149.592368423382,4.04221934380234,19.831477664921
"96",165.897288045305,4.72490755161836,20.4827630929457
"97",165.745896909932,4.77945583847128,18.9934101080458
"98",170.319874998531,5.0230288840287,21.4063081178726
"99",163.11993949911,4.48824954519831,17.2078666205667
"100",177.339861481271,4.87632165478575,26.2220459554772
"101",167.18775171195,4.85649215950227,15.6764010566496
"102",142.465707050959,3.60179347247812,16.9490805600583
"103",166.262485367418,4.56166504838333,16.6043809285791
"104",173.339290359926,4.98888294883663,23.1564089052514
"105",168.842749989648,4.78257040845578,18.2961088653776
"106",165.476277014519,4.70460518513579,18.9812063359965
"107",181.937365955877,5.04906290365895,16.0816987714345
"108",170.537288472314,4.83103392880884,17.8941152133948
"109",171.986091612098,5.01227619017193,16.4238045706177
"110",142.992095641349,3.91436631325038,17.8705100819714
"111",167.586669289504,4.87614885061658,17.3424674702188
"112",174.98289880265,4.89939118506085,21.7456257188861
"113",192.953894437883,5.76014532489712,17.5806742632614
"114",169.276814176113,4.98056993257729,18.0356491968884
"115",169.811340172948,4.69281030987388,17.2733702934988
"116",160.345259007207,4.54301421545783,19.7390632666811
"117",178.150906854772,5.15809214644964,17.6366323071088
"118",171.339746331652,4.88270497219764,17.4800141268084
"119",152.956600407796,4.3645571555076,20.2748721660725
"120",184.947524947177,5.5463750685818,16.0396956282146
"121",186.98602231272,5.44613897731042,17.2454546490147
"122",173.42564230599,4.72011425410853,16.5037010577285
"123",178.183340546875,5.06425946623286,16.1969695393298
"124",158.139835510161,4.47867033081149,17.706760898894
"125",164.48523177257,4.76696767848344,15.9577028625596
"126",160.842947352455,4.26022137809894,26.0418442039952
"127",169.189757498747,4.59148128166351,16.1606050532539
"128",169.671474602506,4.90043996223413,29.4606868664157
"129",161.969617746011,4.51958999979675,16.9813889854205
"130",148.956485456779,4.11082774295666,18.9863377086249
"131",179.503584519402,5.2439372701216,15.9608561420427
"132",175.625625918373,5.03766707319193,18.7741143185729
"133",164.184447005261,4.76154415589957,16.6475560811788
"134",179.759970627028,5.20807425322422,15.3107073378142
"135",148.818221068587,3.9978743221336,18.2477638152292
"136",177.8671790937,5.05589098084684,16.4046095751006
"137",149.594424009113,3.91152205949034,21.9488099133738
"138",167.758105493769,4.59874539175235,17.3754036866358
"139",170.349756240549,4.99757909120966,19.994229508955
"140",175.42298965822,5.21360032467847,17.5512023814773
"141",146.955431485008,3.93915893809865,21.9889525748667
"142",151.304001278572,4.20609463440308,19.1966305294379
"143",164.291954629097,4.70696741579669,16.4939414476138
"144",167.101536267512,4.76698154711062,19.5493104827271
"145",177.86207226925,5.21646093312616,22.7226381092653
"146",166.001224482979,4.76341643072745,19.3153733717049
"147",165.008308343609,4.63232105831039,21.2775353824255
"148",200.135003527894,6.08645936251809,17.8953158142144
