"T0","Tm","c","sigma","tau"
16.7498621219317,35.8991393030144,0.000837781989038436,0.0411418245114409,24.3061656082344
19.993041329226,35.4120721170105,0.00116548996297961,0.055804437322753,17.9197219428333
17.2190298454263,35.6430766265911,0.000879275621445194,0.0280126323866162,35.6981802423458
16.9160755271058,36.6268658435339,0.000794207917133036,0.0385883200035797,25.91457725828
16.2299207046059,36.3597819862326,0.000849767297011077,0.0342559364056683,29.1920205641943
17.0402802971583,36.8022259297993,0.000728685268831135,0.0302892600495576,33.0150026234995
14.6877823207794,35.6567746338853,0.000876343062018903,0.0490718024260663,20.3783018059433
19.9638646243507,35.622538757847,0.00107063109777939,0.051231708943292,19.5191614846753
21.1893037664243,36.0720188018697,0.00107088721700494,0.0697278529657274,14.3414712696162
18.5700575481888,35.4722373289056,0.000975491911136617,0.0575628499550402,17.3723156650697
18.5942534574474,35.1193107562753,0.00100312956940119,0.0557190600004827,17.9471800132906
17.4226198298848,36.3509313146471,0.000955818055986171,0.0474114262241574,21.0919619939734
18.9768931798069,35.094189341812,0.00104660235710423,0.0450421287662497,22.2014373518977
18.8954371426446,35.5630397037703,0.000953443242614566,0.0473173546678656,21.1338948895029
16.3727522107603,35.9406324162272,0.000836885899680241,0.0335033784579901,29.8477361396224
17.3547328588679,36.0834506685825,0.000876691068993171,0.0296682393402735,33.7060783597811
17.4676874229995,36.1395264666929,0.000810370541978296,0.0522678793337263,19.132209164544
19.3332985725302,35.9257578896299,0.000984102485871283,0.0375203022479697,26.6522373245037
15.9111481422474,36.9959195389415,0.000661475820453164,0.02858989045736,34.9773987938651
15.6312306851381,36.6172139502311,0.000559940456182434,0.0272047705182795,36.7582589725606
16.2870146923684,35.2496500882323,0.000651608515698731,0.0732531254222682,13.6512946612925
15.6684836201823,36.1541403298365,0.000689688411418852,0.0249291630192366,40.1136612259445
17.4477127833099,36.1372124651817,0.000741133217797748,0.0260838921643163,38.337836765329
16.376731914749,35.8643832869588,0.00104186257958105,0.0460482934905511,21.7163313599275
18.0835428792885,36.4984566950847,0.000850176974495816,0.0353752890718947,28.2683202381091
17.2095138293701,35.3173405416794,0.000723920357825958,0.0393528425871031,25.4111249469873
17.2853174106046,35.1395008840553,0.000834967596818869,0.0662348443262868,15.0977934676466
18.4184992634603,35.8058786217897,0.00103308126980488,0.0292146092220764,34.2294498070622
17.0529824201179,35.2645449686369,0.000768526940606451,0.0295027494433377,33.8951460073434
15.1509996037695,35.4462783107344,0.000697790943372704,0.0537748673706344,18.5960477244447
11.3927334497035,36.0540259440716,0.00072677450946027,0.0614024717936267,16.2859893224005
15.661637033154,35.944324803886,0.000703332550061956,0.0302388718554008,33.070016791033
16.7720925012907,35.560930422739,0.000788213254979556,0.0486827263848359,20.5411667394102
16.8965427674418,35.1841627780814,0.000941114490611759,0.0412571414428934,24.2382279776742
12.287069154673,35.8327495124366,0.000628147321667034,0.0335351684370465,29.8194416967739
15.4327674644926,35.3202001880502,0.0010425407381393,0.0427586354158041,23.3870887196365
17.9412219465457,36.226829061879,0.000985861961195619,0.0382164958761975,26.1667109208417
14.9477943021797,36.572914476622,0.000788799239901511,0.053272901158875,18.7712697871985
14.3076273686096,35.8661971758429,0.000724590471731256,0.0405188631045635,24.6798632384968
10.4372042675612,35.3839861976818,0.00066582684783237,0.101341303690188,9.86764491462551
11.5171309540018,36.2628113812633,0.0004018669360304,0.038543771508065,25.9445290607007
16.8796237047462,36.0112092502676,0.000802504332883938,0.0529478428240041,18.8865106992923
17.910436861487,35.2944201793171,0.00102522717430425,0.0269596263327279,37.0925022349453
17.9944912559267,35.9243310282923,0.00071691836950524,0.040167265398496,24.8958944573171
14.2015409732208,35.1481300928242,0.00071758122180896,0.0563389027796528,17.7497244472634
14.4575917167643,35.9595644529101,0.000652668651656797,0.0299590511592635,33.3788942341318
13.8219569136157,35.8354344492274,0.000599233559899601,0.0408480179879041,24.4809919613754
18.3795748371464,35.8566843019369,0.000931642809430405,0.0377489923250868,26.4907733533176
18.7352351409279,35.3998802974621,0.00106217887993531,0.0728924176244291,13.7188480309763
18.8668060620241,35.6857194215683,0.00105306534827363,0.0404609351742452,24.7151974044469
19.2157524770802,35.7583223436141,0.000973771160624319,0.030263215820738,33.0434150132435
19.5491637233126,35.7162313598981,0.00112573230228888,0.0419800614973939,23.8208321839185
17.6189739637661,36.0261252857077,0.000835906835485967,0.0304374394887759,32.8542747614745
17.7368790862762,36.4502227353182,0.000789957698225547,0.042812569896336,23.3576260995625
16.1086813010476,35.9477300993277,0.00080653248845348,0.0604805472646616,16.534241921192
17.6782502955691,36.5399880817379,0.000675917722527936,0.0596989256930302,16.7507201912136
16.9623328874317,35.1994465245546,0.000915366928254602,0.0556566145257711,17.9673163472234
16.3552549304688,36.7963565188109,0.000767006444904011,0.025558226757771,39.1263450894906
18.0126070213155,35.4595529437473,0.00103809690865805,0.0397624166427241,25.1493768345437
18.5771882206569,35.5181334939236,0.000889129832986624,0.0359357940523604,27.8274079193281
16.1772688687968,35.7830666175066,0.000819571528968193,0.0639736293437429,15.6314408023782
19.184263857436,35.8755058701922,0.000934619454884844,0.0454925403454613,21.9816258315363
14.6996460696378,35.2980630301648,0.000874159216771413,0.059983452974751,16.6712643305302
19.8495942957554,36.2874853855374,0.000919462390012104,0.0260293624849306,38.4181518306081
14.2971555737974,35.328516384428,0.000719514029752757,0.0697267204732228,14.3417042019642
16.7501987049038,35.969654387554,0.000738979270395688,0.0514388617192873,19.4405546035838
14.3868342828621,35.3609907465053,0.000672002379572546,0.0399740479535302,25.0162305594495
19.3089615371963,36.8894653929161,0.000898155095355018,0.0448258981121419,22.3085323912145
18.3450693269171,35.7953966059504,0.00094051336613058,0.0231341662988402,43.2261092568585
18.0531562550125,35.7999745178046,0.000914270204834298,0.0439203236054501,22.7685025498289
16.7261599732278,35.1235878476263,0.000794961109328982,0.0277452251024365,36.0422377655239
19.0258709903048,35.0505352427423,0.00116059939334419,0.0707846372635595,14.1273592499542
15.2323693270942,35.034162850816,0.000747975505238484,0.0603423884468444,16.5720984160397
15.0245095557957,36.3260057112755,0.000527759257499898,0.0655369141037126,15.2585762341128
13.7711934557716,35.7240020506348,0.000714381267740194,0.052589519992651,19.0151954256236
13.7265359091581,35.2762763434989,0.000574429371301664,0.070338575073785,14.2169499304045
16.2135441535037,36.7309089284931,0.000711896462473011,0.0387204498689664,25.8261462194807
20.6926468963838,36.3334384950786,0.00101810890933082,0.0300032219612785,33.3297537607987
19.1924733729564,36.1201314124495,0.000936201883541212,0.0305465249474615,32.7369480397509
17.4053170139527,35.4430621590374,0.000968729594559493,0.089143116361817,11.2179160973144
17.7434445308906,35.3549083774488,0.000849317745779584,0.0445682477989013,22.4374986540228
15.0213647445579,35.476752058444,0.000667795813781168,0.0396009516528632,25.2519184075643
18.1666983792657,35.8004755408781,0.000762800293492001,0.0298479457809284,33.5031431422312
20.0252878325211,35.9378510127477,0.00122528818280703,0.0293769972206809,34.0402387789321
17.1536227850538,35.9291627973376,0.000852835559397311,0.0283822501955905,35.2332881680876
15.0480647213267,35.5163574628349,0.000825170556546292,0.0262689610069084,38.067740849629
18.7565670231281,35.2705761562308,0.000983272090115152,0.0501255012429767,19.9499251918227
18.2319331085725,35.6383815259375,0.000912568615893591,0.0376319755117849,26.5731465436046
16.3817131679951,36.0132934045403,0.000748177128977129,0.0454758852370179,21.9896763919614
16.6969448963804,36.0286391841789,0.000658970483781988,0.043263941672598,23.1139364870531
12.8669769812503,36.6242091833352,0.000509091139532119,0.0506876569900241,19.7286688591033
14.8261259486645,35.5289416960832,0.000625911758215075,0.049332579116074,20.2705801707045
11.6312177412929,35.7454763303767,0.000580162880123924,0.0659224873192036,15.1693305375129
12.9971710056738,35.2141111590802,0.000573661259969266,0.0781184255159829,12.801077254116
13.9236009047768,35.604074233171,0.000684703207182598,0.0677549432150594,14.7590707415387
17.6649623763983,35.193078158388,0.000758553628016172,0.05364742642785,18.6402231492855
16.6879081413374,35.5457280233827,0.000734717590851886,0.0266754040846446,37.4877170305225
16.3079440608899,35.4277790415785,0.000823729625259002,0.0426784320947998,23.4310388389794
20.34075579236,35.3218755770244,0.00100887958539834,0.0666534144452939,15.0029823426488
18.3088789854745,35.465599140789,0.000980153241019157,0.0368191782620513,27.1597587779594
16.7588585879588,36.4329770542528,0.000731534852500368,0.0428638993029691,23.3296554037661
16.9589178640343,35.2365262318202,0.000860551295288561,0.103335534534725,9.67721321133687
19.157770379212,36.0931093446958,0.00106954646106303,0.0527724502406619,18.9492812147177
18.8365327044657,36.2842994701271,0.000785170330290631,0.0237789273722426,42.0540415614925
19.1232401107662,35.9299742770161,0.00101245887327597,0.027290857806586,36.6423073648742
20.2024724619584,35.4513934376888,0.00109002450057787,0.0330148316349936,30.2894169219407
19.179118230664,35.6492277319131,0.000926327021790965,0.0455516012197108,21.9531250982081
20.0810102794045,35.2661493273752,0.00110486092615903,0.0384307465414617,26.0208320158738
13.9622617471538,35.2362159892012,0.00069600675949847,0.0521435108719956,19.1778417539787
19.6171714537035,35.8027788710687,0.000890138504510331,0.0399170931020502,25.0519244335615
16.1291163479258,35.3621600564778,0.000787060520900465,0.0377239260946858,26.5083755463319
17.8519675330466,36.0072448667718,0.000723563301515997,0.0354059308433065,28.2438556530438
14.24187635125,35.8120309815816,0.00062845859795634,0.0379662124675592,26.3392088651052
15.7779080015839,36.2131893625142,0.000823772109217289,0.0512033762624525,19.5299621430101
13.5292364228159,35.3460372282438,0.000577573554975929,0.0425016764968412,23.5284836369766
10.7123124647446,35.4084246578914,0.000534411864186452,0.0492385237475778,20.3093010084242
7.54611287340438,35.475900759816,0.000487212969781088,0.0892524433414539,11.2041750630209
15.1815114544168,35.2891649989069,0.000773323398258536,0.0341474726237392,29.2847441747359
15.0166538318669,36.6801822012235,0.000694833674615236,0.0371114622578857,26.9458528217253
16.0166339689949,36.3278818351202,0.000619471453447887,0.0580155394877465,17.2367611993199
15.2593582504542,36.3117612939421,0.000651036814939337,0.0516496737934417,19.3612065005332
11.193238729794,35.4467233578988,0.000535743526702498,0.0410637602655307,24.3523728351641
18.5211637026783,35.1136828774497,0.00112927135336837,0.0611901754660071,16.3424927675772
17.3801070534078,36.5083839554514,0.000639905069157146,0.0606351550702044,16.4920828328415
16.2613004023527,35.8855353066562,0.00069245560257357,0.0296213739061816,33.7594064059031
16.4053639544441,35.1680149044805,0.000837190574912771,0.0966003527394263,10.3519290731519
18.9131521822234,35.7962034799688,0.00101300429309714,0.0509851341572224,19.6135602373098
21.0041499949711,35.7218722109376,0.00117350630320642,0.0281888566248229,35.4750110410441
18.5364525106757,35.6944337679963,0.00105270633189906,0.0250097580093261,39.9843932767003
19.6598703983442,36.3324979991525,0.00100393553857219,0.0252451170493332,39.6116206570099
18.8084118177594,35.4265662982727,0.00110056855800197,0.0452936081126822,22.0781704454232
18.0472641137805,35.9087544363843,0.00108736836932367,0.0647435422049949,15.4455558955014
15.2957624295357,35.882278508949,0.000764255851853279,0.0320808220298548,31.1712710811895
18.6331159959921,35.4581832431164,0.00111348579423093,0.0340110152250818,29.4022390505573
19.9709214742655,35.5760464855464,0.000964767814380987,0.0550875940178067,18.1529075253633
12.423793056695,36.022026090048,0.000684158334142592,0.0800611872815997,12.4904467939339
15.7068480279562,36.059439896814,0.000771318452113469,0.0500718185253449,19.9713137938825
13.7887397246047,35.5856588487571,0.000702346619396748,0.0509326423577154,19.6337742105877
14.0976213593674,36.0809329199914,0.000723718253262432,0.055170265463839,18.1257057872133
14.9552268609298,35.6850882637423,0.000657570081627964,0.0598198303316742,16.7168645323039
12.7141799535775,35.6456945406104,0.000604804144523265,0.0558714772528754,17.8982201503995
17.2094038178096,35.1913595930526,0.000898520030199357,0.0481129545721131,20.784423008177
20.4339236622509,35.7853087837432,0.0010016111750222,0.0316547870625903,31.5907985109084
21.5026084298352,35.8170493188294,0.00133159854880972,0.0420986069309203,23.7537551216576
20.4339581142745,35.8340938920077,0.00109446406281628,0.0198213702771492,50.4505988242818
20.9418919193187,36.7997651485357,0.00102216937580908,0.0255525573801051,39.1350261003068
16.7623296876406,35.4148561837112,0.000900654581877574,0.0707973842275293,14.1248156398857
14.7703371488219,35.8656827348073,0.000797848153173391,0.063785007032541,15.6776654346034
12.9756768785008,35.7032307999695,0.00049773053673159,0.0593497405498026,16.8492733200891
15.3470129686932,35.630395288205,0.000731317232023647,0.0454916709378936,21.9820459302369
17.1124666302238,36.9596899696178,0.000761297771658231,0.0333639716479599,29.9724508386323
16.0347254756329,36.1203530183778,0.000777397360542638,0.0358529729643509,27.8916897908108
16.5231392916778,37.1072665425321,0.000769703460847873,0.0682161927160341,14.6592760484704
14.8817727757244,36.0169231288464,0.000677881247566108,0.0416800593801834,23.9922882757563
18.5390621346056,35.8929343225251,0.000919507482634405,0.0437182021561424,22.8737676912796
16.1258879967418,35.4609728632753,0.00106576216941625,0.0647737830362353,15.4383448538213
18.423168330929,35.9227041094685,0.000856080993159377,0.0602528801795132,16.5967169871493
12.1080004717451,35.9990670719441,0.000545248947564539,0.0510901215163362,19.5732554615328
19.7116167952949,35.9656531948976,0.00103169026856419,0.0348850710915304,28.6655571770581
17.6432305544479,35.9951468742038,0.000869384778982439,0.0340574141584241,29.3621822064448
18.1741708538406,35.5159761457544,0.000818513809766277,0.0611848868888517,16.3439053473548
12.0263267369442,35.8457522782483,0.000548498654206872,0.0403084733359246,24.8086795961274
13.4077589723798,36.1728150849277,0.000657365465321184,0.0577675655552937,17.3107519831838
17.1649008068593,35.3212770133183,0.000706500718610163,0.0968150951113393,10.3289678004239
19.3506966288296,35.8027847796971,0.00105696912125147,0.0608324828343389,16.4385859890551
16.1470658042645,35.1980928707408,0.000909705158719898,0.0520914153427696,19.1970211102894
16.2679544634256,35.8955387353677,0.000771177715018761,0.0395146167034749,25.3070909811473
19.6316944968992,35.6549629256988,0.00112159486288016,0.0252902317293652,39.5409583708507
18.9381831129951,36.0471492052132,0.000867939052967058,0.0401850480707126,24.8848775355532
19.0914495285163,35.7670033283237,0.000818355357305391,0.0300959508344277,33.227061191769
19.5414504718911,35.6258203831973,0.000853438081187438,0.0387328388315077,25.817885550556
20.6751458586039,36.053927995151,0.00117141005141937,0.0306973658483318,32.5760850276456
17.2560088280596,35.895381075618,0.000768281848164469,0.0240597847179898,41.5631316622833
17.6445624765971,35.458658399782,0.000925852563660287,0.0651420456684411,15.3510684188486
18.4758072141793,36.0782236551289,0.000777551249666715,0.0393575605990116,25.4080787726746
17.4696683943919,36.2234356818947,0.000909197681175696,0.0379230566249913,26.3691824709351
18.3985383415325,36.1982132313536,0.000858733005857675,0.0316310930986975,31.6144622912566
16.4972149568121,35.4944963739834,0.000840456941805329,0.0296037310448549,33.7795259146498
16.6032268111946,36.1856496581893,0.000798476913668618,0.0371267497898491,26.9347574366289
18.6938842715856,35.9886186564843,0.00097618501972206,0.0216946766192855,46.0942570174588
19.2689387549767,36.0817387307214,0.000910506084111671,0.0281523378760362,35.5210286407943
20.9263325261504,35.4478597970936,0.001127190639914,0.0994396229673831,10.0563534953065
17.8210895699161,35.6989288667078,0.00110747412477114,0.0353031362727606,28.3260952305698
18.5996877080618,35.593391563213,0.000809370258969222,0.0699343623381227,14.2991222993518
15.5016459885359,35.6785867099038,0.000966401765911689,0.0428905603633175,23.3151535332996
16.4044631303642,36.3668991047013,0.000856769715332851,0.0437533729504783,22.855380798455
17.9579275491542,35.6889332212849,0.00105531432438039,0.0338082597594309,29.5785706544995
16.8151230014489,35.3995773754268,0.00100836483736403,0.0642505319548377,15.5640734726198
18.7089799503273,35.651047232388,0.00113505651663213,0.0343435115895296,29.1175815668446
12.9970114428656,35.7589109046326,0.000634885821660921,0.0605539230787497,16.5142066633653
17.8670521916549,36.2230838575392,0.00076758358023694,0.021896152191433,45.6701246528263
18.9564257402956,35.976337392387,0.000989035840371067,0.0476897405648611,20.9688706240693
17.1832665738563,35.6297331699514,0.000967661385770476,0.0304558410403328,32.8344240658367
