"","T0","Tmax","q","sigma"
"6609",13.6770633688883,45.1291339555384,7.53533632923561e-05,0.00414640649284554
"6610",12.3514822960706,45.9148092316946,6.97790296855403e-05,0.00383888038827187
"6611",11.4970037180266,47.3380339496567,5.73339915101113e-05,0.00963645433684997
"6612",12.9880373788685,45.6747249346022,7.12124401194543e-05,0.00354708833676796
"6613",13.2407537075537,45.735718744427,7.41040713293962e-05,0.00561650444633347
"6614",13.1166458722627,38.9051608428904,9.3012203770382e-05,0.00735009008949213
"6615",11.3245150705562,49.3097992346232,5.62229073646658e-05,0.00523012657470812
"6616",13.1725482817196,50.6948706101464,6.09156858889347e-05,0.00595405336211507
"6617",13.3201751061587,48.3030605350724,6.78193390660014e-05,0.00635114190655726
"6618",13.5274364120717,43.2478301462645,8.24710689451818e-05,0.00405988933995108
"6619",12.6514721154118,41.8764773762297,7.78985717994559e-05,0.00276466803864755
"6620",12.9444603312258,44.6078860650507,7.20903756957304e-05,0.00268876649226785
"6621",12.4826385700578,43.5774821973248,7.66682068968287e-05,0.00486453990428638
"6622",12.895105507747,48.4570380811755,6.53049808702077e-05,0.0164989317668518
"6623",8.49809782754426,48.5866159399555,4.99068933000379e-05,0.00656203619406197
"6624",11.1497708469401,45.4160638746644,6.89759855092988e-05,0.00735496802348939
"6625",13.1444302464346,50.9981146812182,6.56855184543065e-05,0.00679216416241796
"6626",11.6865327566832,44.4532105136767,7.3614331560458e-05,0.00763161261060748
"6627",12.4947841969433,45.2355120573524,6.9494971248537e-05,0.00193196058174361
"6628",13.5952240048487,44.3515798263018,7.70989603978959e-05,0.00259477501116257
"6629",12.3902855432906,42.5979319552694,7.66908455814252e-05,0.00714253279063269
"6630",12.2156011716643,47.9387882850243,6.28412455178019e-05,0.00285877872637422
"6631",13.4953919939178,46.4903032047977,7.2461921520752e-05,0.00301688526980661
"6632",13.4227778632467,47.3376435819155,7.04312274157229e-05,0.00457312416362135
"6633",12.9803900603796,46.2822624657928,6.96040856171528e-05,0.00360569801949962
"6634",13.3296927008437,42.6493183783995,8.09502061473557e-05,0.00725149543437294
"6635",13.2898482715232,45.8308468339831,7.03727538097855e-05,0.00706810055143992
"6636",13.1933354460292,46.7842517150456,7.02099069744449e-05,0.00300853648665791
"6637",13.3961393037304,47.7422159210731,6.90841999675115e-05,0.0040394831865315
"6638",13.5605340069257,42.4197968822987,7.94007453147173e-05,0.0056127330464214
"6639",12.9973824664147,50.4403718929307,6.24565738426339e-05,0.00467382392374742
"6640",12.6483774143069,46.9887771124274,6.80748894176807e-05,0.0024435410895865
"6641",13.4887305456062,41.9976131515994,8.47778849937395e-05,0.00227060643798188
"6642",12.9104242421991,45.2917714480305,7.25526481612308e-05,0.00181627990235838
"6643",12.7122970207817,45.4989814257633,7.08670988321837e-05,0.00286765578074952
"6644",13.0436138016407,48.692755628739,6.8336023282294e-05,0.00451949526313754
"6645",12.8214757151448,42.9944091994177,6.94550947395566e-05,0.0101512876844975
"6646",13.7933037372981,44.7448805971713,7.81930668179685e-05,0.00488582005430065
"6647",13.1614182974515,42.1539964459085,8.0222465893829e-05,0.00280562566963218
"6648",13.581934740076,42.5822465930384,8.1551336332911e-05,0.00531782245642228
"6649",12.6919409464854,55.405099062837,5.59088194960342e-05,0.00329594565951345
"6650",13.7271262141233,48.2765381463482,7.07243150220235e-05,0.00663261374677135
"6651",13.3304082875779,42.8200531174988,8.35500907929552e-05,0.00405150342509364
"6652",12.9473851461458,43.026653148542,7.74089772573897e-05,0.00204980074865617
"6653",11.8626354120556,44.5887728093687,6.83487066346434e-05,0.0050484210812583
